,date,exercise_date,close,contract_type,exercise_price,maturity
934,2015-02-13,2015-06-24,0.1989,call,2.3,0.3589041095890411
1384,2015-02-13,2015-06-24,0.0891,put,2.3,0.3589041095890411
256,2015-02-13,2015-03-25,0.073,put,2.4,0.1095890410958904
172,2015-02-13,2015-03-25,0.0236,put,2.25,0.1095890410958904
472,2015-02-13,2015-04-22,0.0977,call,2.4,0.1863013698630137
116,2015-02-13,2015-03-25,0.0659,call,2.4,0.1095890410958904
331,2015-02-13,2015-04-22,0.1873,call,2.25,0.1863013698630137
3809,2015-02-13,2015-03-25,0.0294,call,2.5,0.1095890410958904
1114,2015-02-13,2015-06-24,0.1422,call,2.4,0.3589041095890411
32,2015-02-13,2015-03-25,0.1677,call,2.25,0.1095890410958904
3210,2015-02-13,2015-03-25,0.1044,put,2.45,0.1095890410958904
200,2015-02-13,2015-03-25,0.035,put,2.3,0.1095890410958904
2266,2015-02-13,2015-09-23,0.2011,call,2.4,0.6082191780821918
3183,2015-02-13,2015-03-25,0.0429,call,2.45,0.1095890410958904
1807,2015-02-13,2015-09-23,0.2868,call,2.25,0.6082191780821918
3947,2015-02-13,2015-06-24,0.1007,call,2.5,0.3589041095890411
60,2015-02-13,2015-03-25,0.1281,call,2.3,0.1095890410958904
3031,2015-02-13,2015-09-23,0.1692,put,2.4,0.6082191780821918
4121,2015-02-13,2015-09-23,0.1567,call,2.5,0.6082191780821918
3329,2015-02-13,2015-06-24,0.1189,call,2.45,0.3589041095890411
144,2015-02-13,2015-03-25,0.0159,put,2.2,0.1095890410958904
1654,2015-02-13,2015-09-23,0.3137,call,2.2,0.6082191780821918
566,2015-02-13,2015-04-22,0.0372,put,2.25,0.1863013698630137
613,2015-02-13,2015-04-22,0.0521,put,2.3,0.1863013698630137
707,2015-02-13,2015-04-22,0.0992,put,2.4,0.1863013698630137
3834,2015-02-13,2015-03-25,0.1345,put,2.5,0.1095890410958904
3418,2015-02-13,2015-06-24,0.1571,put,2.45,0.3589041095890411
425,2015-02-13,2015-04-22,0.1267,call,2.35,0.1863013698630137
2878,2015-02-13,2015-09-23,0.1459,put,2.35,0.6082191780821918
3810,2015-02-16,2015-03-25,0.0304,call,2.5,0.10136986301369863
